ad_track,adid,attribute_text,coid,company_href,company_name,companyind_text,companysize_text,companytype_text,degreefrom,effect,isFromXyz,isIntern,is_special_job,iscommunicate,isdiffcity,issuedate,job_href,job_name,job_title,jobid,jobwelf,jobwelf_list,jt,providesalary_text,tags,type,updatedate,workarea,workarea_text,workyear
,,"成都-高新区,无需经验,大专,招5人",6852895,https://jobs.51job.com/all/coVTVdMVUzAz9VOFM5BmY.html,四川科航锐科技有限公司,计算机软件,,民营公司,5,1,,,,,,2022-03-06 16:40:09,https://jobs.51job.com/chengdu-gxq/138605995.html?s=sou_sou_soulb&t=0_0,周末双休数据分析助理,周末双休数据分析助理,138605995,五险一金 员工旅游 出国机会 弹性工作 年终奖金 绩效奖金 交通补贴 餐饮补贴 专业培训 通讯补贴,,0_0,6-8千/月,,engine_jds,03-06,090220,成都-高新区,10
,,"成都-武侯区,1年经验,大专,招4人",6805768,https://jobs.51job.com/all/coUzMCbgRnVG8EZlM2Bms.html,成都富维贝创科技有限公司,计算机软件,,民营公司,5,1,,,,,,2022-03-06 11:31:55,https://jobs.51job.com/chengdu-whq/136030068.html?s=sou_sou_soulb&t=0_0,分析师助理+周末双休,分析师助理+周末双休,136030068,,,0_0,6-8千/月,,engine_jds,03-06,090204,成都-武侯区,3
,,"成都,2年经验,本科,招若干人",842207,https://jobs.51job.com/all/co842207.html,成都岸宝科技集团有限公司,印刷/包装/造纸,500-1000人,民营公司,6,1,,,,,,2022-03-06 09:02:50,https://jobs.51job.com/chengdu/138047520.html?s=sou_sou_soulb&t=0_0,数据分析师,数据分析师,138047520,带薪年假 包吃 包住宿 绩效奖金 节日福利 专业培训 加班补贴 五险 弹性工作,,0_0,6-8千/月,,engine_jds,03-06,090200,成都,4
,,"成都-金牛区,1年经验,本科,招3人",4010754,https://jobs.51job.com/all/co4010754.html,四川柒元星实业有限公司,多元化业务集团公司,150-500人,民营公司,6,1,,,,1,,2022-03-06 00:21:27,https://jobs.51job.com/chengdu-jnq/138441978.html?s=sou_sou_soulb&t=0_0,无人机数据处理工程师,无人机数据处理工程师,138441978,员工旅游 餐饮补贴 通讯补贴 专业培训 出国机会 绩效奖金 年终奖金 五险一金,,0_0,0.5-1万/月,communicate,engine_jds,03-06,090203,成都-金牛区,3
,,"上海,3-4年经验,本科,招若干人",2485502,https://jobs.51job.com/all/co2485502.html,普华永道信息技术（上海）有限公司,计算机软件,500-1000人,外资（欧美）,6,1,,,,,1,2022-03-06 09:00:25,https://jobs.51job.com/shanghai-pdxq/134750781.html?s=sou_sou_soulb&t=0_1,ETL,ETL,134750781,五险一金 补充医疗保险 员工旅游 交通补贴 年终奖金 专业培训 定期体检 通讯补贴 弹性工作 出国机会,,0_1,1.2-2.4万/月,,engine_jds,03-06,021000,上海,5
,,"成都-武侯区,5-7年经验,招1人",4400526,https://jobs.51job.com/all/co4400526.html,美团,互联网/电子商务,10000人以上,上市公司,,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu-whq/138589440.html?s=sou_sou_soulb&t=0_0,外卖技术-数据工具后端研发（数据仓库方向）,外卖技术-数据工具后端研发（数据仓库方向）,138589440,,,0_0,,,engine_jds,03-06,090204,成都-武侯区,6
,,"成都-高新区,2年经验,本科,招1人",5182668,https://jobs.51job.com/all/co5182668.html,必竟智能家居（上海）有限公司,家具/家电/玩具/礼品,150-500人,民营公司,6,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu-gxq/138588709.html?s=sou_sou_soulb&t=0_0,数据分析师,数据分析师,138588709,带薪年假 节日福利 五险一金 做五休二,,0_0,7-8.5千/月,,engine_jds,03-06,090220,成都-高新区,4
,,"杭州,3-4年经验,本科,招若干人",3746688,https://jobs.51job.com/all/co3746688.html,电讯盈科企业方案,计算机软件,10000人以上,外资（非欧美）,6,1,,,,,1,2022-03-06 04:01:59,https://jobs.51job.com/hangzhou-xsq/138585090.html?s=sou_sou_soulb&t=0_1,ETL开发工程师,ETL开发工程师,138585090,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,,0_1,1.3-2.2万/月,,engine_jds,03-06,080208,杭州,5
,,"成都-武侯区,3-4年经验,本科,招2人",6021948,https://jobs.51job.com/all/co6021948.html,南京民基悠步信息技术有限公司,计算机软件,50-150人,民营公司,6,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu-whq/138582586.html?s=sou_sou_soulb&t=0_0,数据分析师,数据分析师,138582586,五险一金 年终奖金,,0_0,1.5-2.5万/月,,engine_jds,03-06,090204,成都-武侯区,5
,,"成都-高新区,1年经验,大专,招2人",3931447,https://jobs.51job.com/all/co3931447.html,成都心吉康科技有限公司,医疗设备/器械,50-150人,民营公司,5,1,,,,,,2022-03-06 04:01:59,https://jobs.51job.com/chengdu-gxq/138570601.html?s=sou_sou_soulb&t=0_0,数据标注员,数据标注员,138570601,五险一金 股票期权 专业培训 定期体检 生日福利 节日福利 加班补助 补充医疗保险 周末双休 餐补,,0_0,4-5千/月,,engine_jds,03-06,090220,成都-高新区,3
