pro_name,score,title
iPad mini 2019,8.4,平板电脑榜
iPad Pro 2017,8.2,平板电脑榜
iPad Air 2019,8.2,平板电脑榜
Surface Pro 6,8.2,平板电脑榜
iPad 2018,8.1,平板电脑榜
华为平板 M6,8.1,平板电脑榜
iPad Pro,8.1,平板电脑榜
小米平板 4 Plus,7.3,平板电脑榜
小米平板 4,7.2,平板电脑榜
小米 9,7.6,2019 性价比手机
尼康 D850,8.9,相机人气榜
OPPO Reno Ace,8.5,2019 手机人气榜
Apple Watch Series 5,8.2,智能手表榜
华为 Matebook 14,8.2,笔记本电脑榜
惠普（HP）暗影精灵5,8.1,笔记本电脑榜
OPPO Reno Ace,8.5,2019 旗舰手机榜
联想小新平板,7.2,平板电脑榜
苹果 HomePod,8.5,蓝牙音箱榜
Redmi K20,8.1,2019 性价比手机
Redmi K20 Pro,8.5,2019 性价比手机
索尼 A6400,8.8,相机人气榜
华为 Mate 30,8.4,2019 手机人气榜
华为 Watch GT2,8.0,智能手表榜
联想拯救者 Y7000,8.0,笔记本电脑榜
索尼 WH-1000XM3,8.7,耳机口碑榜
华为 Mate 30,8.4,2019 旗舰手机榜
iPad mini 4,7.0,平板电脑榜
JBL Xtreme,8.4,蓝牙音箱榜
荣耀 9X,7.8,2019 性价比手机
佳能 EOS R,8.7,相机人气榜
华为 Mate 30 Pro,8.3,2019 手机人气榜
OnePlus 7 Pro,8.3,2019 手机人气榜
AMAZFIT GTR,7.7,智能手表榜
华为 WATCH GT（运动版）,7.6,智能手表榜
MacBookPro 2018,8.0,笔记本电脑榜
联想小新 Pro 13（2019）,8.0,笔记本电脑榜
索尼 WI-1000X,8.6,耳机口碑榜
Bose QuietComfort 35,8.6,耳机口碑榜
佳能 EF 50mm f/1.4 USM,8.1,镜头榜
OnePlus 7 Pro,8.3,2019 旗舰手机榜
海盗船 K70 RGB MK.2,8.7,键盘榜
Vortexgear Type Q,8.7,键盘榜
索尼 KD-85X9000F,8.1,智能电视榜
小米手环 4,8.5,智能手环榜
AOC CQ27G1,8.9,显示器榜
优派 XG2703,8.6,显示器榜
金士顿骇客神条FURY 8GB DDR4 2400,8.3,内存榜
影驰(Galaxy) 名人堂 HOF DDR4 3600,8.2,内存榜
联想拯救者 刃 7000 3 代,7.9,台式电脑榜
外星人 ALWA51R-8988S,7.6,台式电脑榜
华为 M5,7.0,平板电脑榜
七彩虹 iGame GeForce RTX 2080 Ti Advanced OC,7.9,显卡榜
AMD Radeon RX 5700,7.8,显卡榜
JBL Pulse3,8.3,蓝牙音箱榜
魅族 16s,7.8,2019 性价比手机
Redmi Note 8 Pro,8.1,2019 性价比手机
佳能 5D Mark IV,8.7,相机人气榜
OnePlus 7,8.2,2019 手机人气榜
Apple Watch Series 4,7.5,智能手表榜
荣耀 Watch Magic,7.4,智能手表榜
三星 Galaxy Watch,7.3,智能手表榜
荣耀 MagicBook,7.9,笔记本电脑榜
索尼 WF-1000XM3,8.3,耳机口碑榜
